crit_number,index,radius,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,coords_13,coords_14,coords_15,coords_16,coords_17,coords_18,coords_19,coords_20,coords_21,coords_22,coords_23,coords_24,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10,contact_graph_11,contact_graph_12,contact_graph_13,contact_graph_14,contact_graph_15,contact_graph_16,contact_graph_17,contact_graph_18,contact_graph_19,contact_graph_20,contact_graph_21,contact_graph_22,contact_graph_23,contact_graph_24,contact_graph_25,contact_graph_26,contact_graph_27,contact_graph_28
1490,4,0.2177256462,0.4963196898,-0.0881625561,0.0346729901,0.1154252641,-0.3228582007,0.1310751049,0.2163134282,0.2171884383,-0.2700184915,-0.1300253855,0.1246174766,0.4398535545,-0.0884528408,0.0304681869,-0.0212798795,0.3465344278,0.3081059966,0.1354372573,0.2770699862,-0.0261418699,0.4057536149,-0.2309292504,0.4132199345,0.129781209,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1
1491,4,0.2177222178,-0.1354813943,0.3973770539,0.1613232094,0.121826874,-0.1655146639,0.4377511499,0.0272068858,-0.2103716635,0.015084845,0.2980832294,0.4352462733,0.1471989126,0.0696364441,-0.3792054327,-0.3840476902,0.0330655338,0.1948902049,-0.3011025327,-0.3957326257,-0.3064929735,-0.0235772838,0.3646200361,0.0556662371,-0.0555415766,0,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1
1492,6,0.2177102724,0.4214358604,-0.1612116294,0.0369623298,0.1513432919,-0.391677538,-0.3168584788,0.1388334805,0.0768333207,-0.3460339856,-0.1097821839,-0.1717823438,0.0055616588,0.1079280889,0.0459279273,0.3134504793,0.3565437541,0.2945435926,-0.0381451664,0.0159187287,0.4511323983,0.1833172203,-0.2663709977,0.1688426694,-0.215900741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1
1493,4,0.2177102723,0.3787456052,0.4445232059,0.0985146463,0.1447896027,0.1869113123,-0.2253249666,-0.4061951901,0.1108023844,-0.2875063333,-0.1670196291,0.4134018695,0.0271520115,-0.0066665206,0.1081222039,0.3865595653,0.1162482342,-0.2661827572,-0.142787474,-0.224376795,-0.1095880707,0.0786707486,0.3985379598,0.0161071194,0.2564303835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
1494,8,0.2177102723,0.1177334378,0.0201322707,0.3455166333,0.0241634287,-0.0107665122,-0.3582536325,0.1470781757,-0.3850714082,0.1710934696,0.4293679034,-0.1027817159,-0.2281245168,-0.1935468436,-0.2284768948,-0.0503648907,0.3354437101,0.2378426547,0.0376278924,-0.0051813092,0.3944371677,-0.1838304681,-0.2874710369,0.1121474748,0.2153875179,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1
1495,4,0.21769799,0.0926127632,-0.3032904084,0.3324674136,-0.2180372868,-0.4180939027,-0.0687453175,-0.2245696921,0.1793479322,0.0970072419,0.4401612044,-0.0815106333,0.1924907304,0.2183245991,0.2899289629,0.241386604,0.2164405358,0.3194768619,-0.1930015075,0.0101311122,-0.0636301525,-0.177668644,0.3876043216,-0.2801859071,-0.1913524266,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1
1496,0,0.2176969712,-0.3524257564,0.0576361572,0.3925601852,-0.2038842788,-0.0353136576,-0.2104539749,0.1509594636,0.0434546434,0.0292319826,0.0232005995,-0.1625229951,0.3909207711,-0.3236393628,-0.2850305526,0.1255044708,0.4614066325,0.3364881902,0.1147993875,0.3774553035,-0.0727244326,-0.3239959215,-0.1353126666,0.3624651979,-0.0472430649,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1
1497,2,0.2176743048,0.0723337701,-0.2516752046,0.0830170079,-0.0828372985,0.068185876,-0.4169145215,-0.3079823696,-0.0980105619,0.369591632,0.3042621299,0.1478683691,0.2794653656,-0.106948769,0.2849457013,0.3200093374,0.4576647691,0.128399095,-0.1274953077,-0.1728075423,0.3573848608,-0.1041882605,-0.3544315095,-0.2531448027,-0.0345175818,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1498,4,0.2176740556,0.4223608944,-0.0025261841,-0.1782458334,-0.3090124283,-0.4740953328,0.0329492603,0.0238413335,0.2067690977,-0.0983123735,0.2754727552,0.4637273189,0.1470079845,0.4262554074,-0.0621374296,0.2529842418,0.013507545,-0.1987646074,0.2306172349,-0.2082856201,0.1739270908,0.2685206375,-0.0529634449,-0.2096348921,-0.199489057,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1
1499,3,0.2176737019,0.0950908551,0.3474063986,-0.1174775021,-0.0503507799,0.1618112592,0.3466684503,0.4788209978,0.134514987,-0.1073117429,-0.0293431676,-0.1839385371,0.0829581204,-0.3244091693,-0.4872123748,-0.0194548553,-0.2734512233,0.0133197647,-0.4441648676,0.3807860139,0.1096991759,0.3161273667,0.1319811773,-0.0472191976,-0.2975805418,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1
