crit_number,index,radius,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,coords_13,coords_14,coords_15,coords_16,coords_17,coords_18,coords_19,coords_20,coords_21,coords_22,coords_23,coords_24,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10,contact_graph_11,contact_graph_12,contact_graph_13,contact_graph_14,contact_graph_15,contact_graph_16,contact_graph_17,contact_graph_18,contact_graph_19,contact_graph_20,contact_graph_21,contact_graph_22,contact_graph_23,contact_graph_24,contact_graph_25,contact_graph_26,contact_graph_27,contact_graph_28
1,0,0.25,-0.2507554519,-0.1448929103,-0.3538274806,-0.2507554519,-0.1448929103,0.3532793006,-0.0007554519,0.1051070897,-0.00027409,0.4992445481,-0.3948929103,-0.00027409,-0.0007554519,-0.3948929103,-0.00027409,0.2492445481,-0.1448929103,0.3532793006,0.2492445481,-0.1448929103,-0.3538274806,0.4992445481,0.1051070897,-0.00027409,0,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,0,2,2
2,0,0.2493483991,-0.2192140743,0.2863305784,0.1796727134,-0.4679413746,0.0360173054,-0.1759322264,0.0291939837,-0.4628575659,-0.1725847868,0.0304984925,0.0360047137,0.5344255602,-0.2187464998,-0.2126644768,0.1809825514,0.031152079,0.0358289929,-0.1751103809,0.2794792328,0.2855517648,0.1779769434,0.2825578249,-0.2131312938,0.1800326864,0,1,2,2,1,1,0,0,2,1,2,1,1,1,2,1,2,1,1,0,1,1,1,0,1,1,1,1
3,0,0.2493450787,0.4321057223,-0.203811597,-0.1936420678,0.1821886272,0.0448955575,0.159508711,-0.3164987418,0.0463439073,0.1603353567,-0.0653381873,-0.2049702525,0.5134495142,-0.3164870511,-0.4528097473,0.157763966,-0.0687653063,-0.2037371642,-0.196197414,0.1821925829,-0.4559510559,0.1569715977,-0.0666544174,0.2949485253,-0.1961799629,2,2,2,1,2,2,0,1,2,0,1,2,2,1,2,2,0,1,2,0,1,1,1,1,1,1,1,1
4,0,0.2492934377,-0.1491369152,0.2963017311,0.3845344588,0.1044593448,-0.4532818586,0.0323403637,-0.3969548266,-0.4528031406,0.0314377926,0.1023850526,0.0477181126,0.0327521544,-0.1445682885,-0.2036842176,0.3854556956,-0.3961963717,0.0462074615,0.0309763256,-0.1477229894,-0.2037584662,-0.3216805694,-0.1435558565,0.2976720729,-0.3216839601,2,2,0,2,1,1,0,1,0,0,0,1,1,0,1,2,1,1,1,1,1,1,1,0,1,1,1,1
5,0,0.2492266222,0.2488411555,-0.032813961,-0.121840521,-0.0015038988,0.2168248877,-0.4759871419,-0.0030520288,-0.2842683261,0.2315379573,-0.2505051077,-0.0322028512,-0.1216009212,-1.04075e-05,-0.2816241004,-0.4774057926,0.2459280001,0.4678647131,-0.123549774,-0.0003574964,0.217288029,0.2300183475,-0.2525223827,0.4693492978,-0.1227442806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
6,0,0.2491917648,-0.4692423251,-0.2436569673,-0.1159673422,-0.4703687598,0.25666431,-0.113318751,0.0280044202,0.2562885898,-0.1101289459,0.2772283662,0.00683218,-0.4669138425,-0.2214371379,0.0089278204,-0.4669369376,-0.2203866744,0.005208275,0.2415053561,0.2812380934,0.0073037664,0.2395357609,0.0300829228,-0.2442399036,-0.114397061,0,0,0,1,0,0,0,1,0,0,1,1,0,1,2,1,0,0,1,0,0,1,0,1,1,1,1,1
7,1,0.2490471371,-0.0296566858,0.3029054985,0.4041929972,-0.2777423318,0.0548195235,0.0506328646,0.2241646591,0.0540356626,0.0498292054,-0.0277395913,-0.1946651288,-0.3005849368,-0.0266161629,-0.1951758827,0.4060900683,-0.0257252394,0.3072482796,-0.3024811726,0.2240148487,-0.4440330324,0.0548748619,-0.2779079515,-0.4470884044,0.0521047034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
8,0,0.2320196538,0.2907444894,0.3860181569,-0.1928850357,-0.4592555106,0.1360181569,0.1606683549,0.2491598342,-0.0723971879,-0.2516946191,0.4991598342,-0.3223971879,0.1018587715,-0.3342555106,0.1291010227,-0.2861645359,-0.1258401658,0.4206856779,0.0085792714,0.1241598342,0.1706856779,0.362132662,-0.0842555106,-0.1208989773,0.0673888547,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
9,0,0.2312673455,-0.0334024485,0.051071426,-0.2296252212,0.3169087599,-0.4106359504,0.0415167896,0.064333197,-0.234645637,0.3987125791,0.1026258191,0.2984958654,0.3445586329,-0.3048244677,0.3380567383,0.1292506176,-0.0588425802,-0.4818957746,-0.2186203054,-0.2718572663,-0.2029466845,0.0826279557,0.3442555912,0.0510714267,0.0374193473,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,0.231259912,0.1221258596,0.2051746714,-0.3454829014,0.1438402087,-0.2598343382,-0.3383144409,0.3916790288,-0.0785183735,0.0121648482,0.023346395,0.4896030458,0.2811531166,-0.2300582769,-0.3299219601,-0.0752322573,-0.0171119674,-0.0396533927,0.2250126875,0.3582887022,0.4627616448,-0.0366798233,-0.2580555336,0.2084571515,-0.082089809,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1
11,0,0.2312429988,-0.0841589191,0.0099248281,-0.117310577,0.2632288748,0.2834198175,-0.2530143332,0.2844794586,-0.2390712385,-0.2442526262,0.0456066853,-0.001900928,-0.5614013926,-0.1124548588,-0.4621920364,-0.1632985946,0.134829225,-0.2940468761,0.1898853529,-0.4861769605,-0.0422355932,0.1058195787,0.1622775337,0.2442346914,0.1966151261,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,0,0.2311919229,-0.126639239,0.3084707367,0.0610780618,0.3325271149,-0.0402784417,-0.2109946711,0.1236206912,-0.3247620864,0.1901153671,-0.3405731704,-0.2881753055,0.1368584619,0.4042577622,0.3369315257,0.0466216629,0.1248479073,-0.4510423346,-0.2550536308,-0.1291059536,-0.0665755714,-0.2095141624,0.084177681,0.0824995833,0.4056997487,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,0,0.2311021269,-0.115187971,-0.1291960226,-0.1442259635,0.1932088427,-0.3619721031,0.1849691267,0.189846315,0.1002175303,-0.4686657213,0.1520359818,0.2290488645,-0.0263924592,0.460432765,-0.0037271799,0.3028025797,-0.3446015601,0.2668592339,-0.0798643965,0.4226223956,-0.127767529,-0.1408381999,-0.0773776044,-0.0051557232,0.2994148301,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1
14,2,0.230989942,-0.2456096002,-0.1958159598,0.2409957199,0.0880849935,-0.1563826526,-0.0760506569,0.3643056837,0.0407982899,0.3136113129,0.1262544474,0.3352037084,-0.0233420568,-0.283779054,0.3125976792,0.1882871198,-0.0218302904,0.1070030977,0.5584405312,-0.1454315561,0.0792720602,-0.4114993206,0.4879069494,0.0685293274,-0.1306623976,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
15,4,0.2306746766,0.3727446979,-0.1119237031,-0.0874637061,-0.1272553343,0.2605092112,-0.3512084858,-0.1272553018,-0.2003977473,0.4111014404,-0.1272553348,-0.0728306605,-0.0322605608,0.1420700079,0.1550628211,0.2929706333,-0.3965806389,0.1550627983,0.2929706272,0.1034193607,-0.4673842464,0.0306671137,-0.3579299925,-0.4673842695,0.0306671072,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
16,1,0.2304513516,-0.1569537653,0.0629361141,0.4976309126,-0.0843264774,0.4571888563,0.2702073752,0.0717192612,0.1583931049,-0.1370256901,0.202378509,-0.1536461286,0.1760094191,-0.1192428126,-0.4237293939,-0.1736751411,-0.3851641194,0.2069810851,-0.100582767,-0.3381531393,-0.1777509248,0.1488216239,-0.126737857,-0.0785133429,-0.4789635366,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
17,0,0.230444561,-0.1038872052,-0.3769925202,-0.0759755527,-0.3233397579,0.2634821924,0.2485049235,0.2811505546,0.336007432,0.0232690798,0.0833901536,-0.0072417307,0.3186276674,-0.3359056012,-0.1957294592,0.2857304183,0.3211108114,-0.2070686336,-0.0219261176,-0.0830748036,0.0827111512,-0.1016302056,0.0324220696,-0.4638054037,0.3556517028,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
18,1,0.2304313642,0.2141547736,-0.2620176843,0.2907080494,0.1140840833,0.1558102493,-0.19117597,-0.1696281934,-0.0029062451,0.2025575785,-0.0306186207,-0.0661127987,0.6373859638,0.0936155815,-0.3140299794,-0.1571780747,-0.1368157174,0.4555384367,0.1687009765,0.2389500804,0.2034556174,0.2561582338,-0.4978061447,-0.1076681168,-0.1035774194,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,3,0.2304167892,-0.3244957849,-0.2459124037,0.2108824335,-0.225881596,0.1699953158,-0.2731761356,0.3919700091,-0.0876588623,-0.1820206753,0.0581747851,0.0121669869,0.1196134328,-0.200803802,-0.2964749299,-0.2361526242,-0.3490514038,0.2209830545,0.1737453817,0.0286379564,0.4710272678,0.0889148124,-0.0784931622,-0.0465191432,0.5557847263,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
20,3,0.2304154487,0.4647146601,0.1865949819,-0.120364051,0.3735198036,-0.413176684,0.0977362298,0.1238015432,-0.025691945,0.1953240675,-0.0723449777,0.2152274081,-0.1542668879,-0.341929529,-0.0543571432,0.2269832407,0.1796577757,-0.1605397012,-0.2417815032,-0.2787525508,-0.1932956906,-0.2078384072,-0.0899267756,-0.4301242525,0.1394686255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
21,0,0.2303980667,0.1269489489,-0.0668697475,-0.5150922814,0.1269489275,0.3719514269,0.08974639,0.1269489275,0.0511437188,0.4205265831,-0.3730510511,-0.0100351067,0.3182584734,-0.1034491302,-0.2351355101,0.0199671905,0.3573470032,-0.235135516,0.0199672177,-0.1426529968,0.1582306618,-0.2168010258,0.3965508698,0.1582306559,-0.2168009986,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
22,3,0.2300543485,0.0191861098,-0.3718925028,-0.0450018906,-0.2458290486,-0.0817332691,0.3039658915,0.2691861098,-0.1218925028,-0.3985552811,-0.3479066139,-0.1126261798,-0.1436118244,-0.3787363249,0.4117185013,-0.1258322782,-0.0979066139,0.1373738202,-0.497165215,0.3712636751,0.1617185013,0.2277211124,0.0041709514,0.1682667309,-0.0495874991,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1
23,4,0.2299466802,-0.0009842069,-0.2031920317,0.3924286187,0.1134305535,-0.4743125666,-0.2125012709,0.3770544019,-0.1953625903,0.130651206,0.1184179428,0.0593006395,-0.2134978844,0.348412933,0.290705054,0.1198139971,-0.0246299598,0.2889377611,0.3887708382,-0.2641557455,-0.4715364532,0.0500302235,-0.2538350339,0.0687300253,0.0563923024,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1
24,1,0.2299113546,-0.4446961057,0.1928986213,-0.1207017855,-0.4446961083,-0.1825450474,0.1447769812,-0.1748465129,0.0760044038,0.4782492128,-0.2147847534,-0.0484647781,-0.4945669901,0.0553038918,0.2216238672,-0.1126039646,-0.1746074626,0.4515352223,0.212539791,-0.2145457008,-0.4239955948,-0.2288575685,0.0553038929,-0.1541460012,0.1527673861,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,5,0.2298480051,-0.4607685997,0.0037555488,-0.1542034243,-0.2156478726,-0.2354621024,0.2104244053,0.0299465527,0.3897810027,0.1076573388,0.2730074709,-0.3640558614,-0.2260366208,-0.2075618178,-0.3727106268,-0.22823022,-0.4493079008,0.3827604404,0.1056895668,0.2956207979,-0.252044272,0.2192301119,0.025468803,0.0181077229,-0.1628225031,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1
26,6,0.2296396634,0.1494486208,0.0072933918,0.1239344863,0.3994485461,0.2572934089,-0.2296189937,-0.1005515166,0.257293329,-0.2296187997,-0.350551631,0.0072933287,0.1239345753,0.1494484891,-0.3677066711,-0.1412304676,-0.3505514596,-0.3677066083,-0.1412305566,-0.1005514735,-0.1177065195,-0.4947840569,-0.1005515367,0.3822932574,0.2123229588,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
27,1,0.2292962103,0.2744667846,-0.0801070728,-0.0679370106,-0.3643812289,-0.4938158594,0.0517613348,0.0910012169,-0.495257942,-0.0023843638,-0.1809156611,-0.0786649902,-0.013791312,-0.1678415268,0.2043724228,-0.3743823518,-0.484375959,0.119523292,0.2671717827,-0.1055384853,-0.1934462243,0.4237593227,0.0779270825,0.2217046449,0.358206676,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
28,2,0.2290221225,-0.3123347515,0.1652897489,-0.2964420046,0.425337403,-0.0558446924,0.0688053113,0.3062278876,-0.4436508019,-0.1438537471,0.0685557331,0.2774836394,0.1980057182,-0.3755766761,0.3539479336,0.116126873,0.1404476888,0.1386688927,-0.2325364322,-0.1465545527,-0.4170299458,-0.2077593195,-0.1305301879,-0.1323089866,0.1506841565,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
29,0,0.2290190651,-0.3987791737,-0.0380081583,-0.2608445273,0.3230509203,-0.0380081583,0.2495664271,0.126581033,0.3042112026,0.0170058519,-0.1107388635,-0.1429076227,0.3526268683,0.2314804974,-0.2753280549,-0.1313443933,0.0350106101,0.0668913061,-0.3639049685,-0.3072087508,0.1993117382,0.1200662931,-0.2023092864,-0.3802275193,-0.0282839521,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,2,0.2286232635,-0.4732242617,0.1732152254,-0.1209033903,-0.1356754482,0.266055478,-0.4150392379,0.162281236,0.494371622,-0.0560338178,-0.1970765823,-0.1198896355,0.2312652357,-0.4398115699,-0.2888932011,-0.1174350756,-0.0674403703,-0.2829742478,-0.3827255814,0.0896799782,0.0438567746,-0.0850133988,-0.1660220604,0.4245100061,0.2544668853,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1
31,3,0.228608113,-0.3533464964,-0.1391080774,0.1734816333,-0.0324386907,0.1003413489,-0.0664160949,0.2218337032,-0.143321122,0.3424699903,-0.3426325021,0.3826368867,0.1156162011,0.0076135127,-0.3515895065,-0.0098382823,-0.1163006866,0.1494704188,0.4372588366,0.417736375,0.0943375546,-0.1461224382,-0.2613502537,-0.0980818875,-0.4088696318,0,1,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1
32,0,0.2285048338,-0.3772166027,-0.1126485412,-0.0463306994,-0.0810956077,0.252078374,0.0215648933,-0.1189951062,-0.3596867827,0.2596723705,0.4560678708,0.3125863685,-0.0308466682,0.1673543692,-0.1299788258,-0.0125340995,0.2534870008,0.0308189588,0.4064931137,-0.2910958377,0.048332973,0.3726283508,-0.1673893254,0.0912421555,-0.3974135565,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0
33,0,0.2284723429,-0.0062547149,0.1658126199,0.3797861225,-0.2465747775,0.4030506862,0.0094070458,-0.1857631539,-0.2857472205,0.3384262693,-0.1401859054,0.1663521399,-0.3666962005,0.1056128131,-0.1103750215,0.0332327511,-0.3437331115,-0.0428181081,-0.0149621581,0.3159934879,0.2923723576,0.0815335389,0.0465766729,-0.4228177966,-0.2949328966,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
34,1,0.2284679227,-0.0037448434,-0.2962679918,-0.2153787328,-0.0219505843,0.2163938493,-0.2296560199,0.2831087544,0.073310295,0.1091718954,-0.0748534081,0.080814231,0.3930684132,0.4152362176,0.124124273,-0.325282635,0.2732610098,-0.4698846958,0.1139229368,-0.3103458064,0.3423491169,0.1016351409,-0.3583847356,-0.2053440049,0.0580325732,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
35,1,0.2284674954,0.0721986107,-0.1382184587,-0.2627920386,0.030995081,0.3274055325,-0.2664922067,-0.2049166525,0.161884951,0.0881035898,-0.142188729,-0.3867081697,0.0551395893,0.4444741307,0.1431254959,-0.2043187923,-0.0086142567,0.1886144457,0.4998565409,0.2108594415,-0.015466604,0.1549336406,0.2752213452,0.4341110997,0.1046641508,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
36,3,0.2284193766,0.3746476104,0.053867065,-0.2119009264,-0.1099147497,0.0600498443,0.4851922859,-0.0537423557,0.1807102671,-0.3072660114,0.0878284667,-0.3039282338,0.117008298,-0.0505395322,-0.3625180961,-0.3144116498,0.0975386548,0.2393446976,0.1197910174,-0.2754337905,-0.031051709,0.0692528666,-0.3207996165,0.4222114159,0.1038379476,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1
37,2,0.2284114716,0.2625813224,-0.3619957,-0.240278031,0.4932378841,-0.1346913076,0.1131587602,0.1478380575,0.3630799113,0.1060423541,-0.0959649966,0.1379401738,-0.2078993139,0.4326230142,0.1874716188,-0.2049985718,0.1018233951,-0.0770513326,-0.559105317,0.2079746418,0.0443044087,0.4276834643,-0.0657720205,-0.2368015036,0.0516084142,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1
38,3,0.2283986489,0.1737849285,-0.1852858732,0.4116639233,-0.0895219934,-0.4542538253,0.0644289986,-0.1904776133,-0.012785324,0.0046182398,-0.2654281047,-0.0140296217,0.4552229967,0.1836232192,-0.0415713359,-0.2559267736,0.4092375988,0.2004724766,0.0589965968,0.4690713528,-0.3423619958,0.1005420971,0.0901422498,0.2626630764,0.3798926747,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1
39,4,0.2283823031,0.0883863872,-0.2868851237,0.2461644394,-0.1784489777,-0.0216366453,-0.1052678469,0.2545524494,0.1532703452,0.2880561558,-0.2662778267,0.200474031,0.2840737079,0.2646747315,0.0737556601,-0.1616202387,-0.4630331159,-0.2061383503,0.2163415969,-0.0264720252,-0.0239095827,0.6015309131,-0.0724633949,0.4209134042,-0.0658925313,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0
40,0,0.2283819676,0.0918836609,0.2331519247,-0.2927419314,0.1571362154,-0.2267657632,0.2801196485,0.4213366939,0.0449040354,-0.0384644048,-0.1436100511,0.0655258859,0.0991474889,0.2029933722,0.3195283831,0.2540094469,-0.0831076945,-0.0038105512,0.5982505054,0.0753508474,-0.2116925953,-0.190402733,-0.1709783498,-0.478706668,0.0864703498,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
41,2,0.2283723483,0.3123586371,-0.2244888449,0.003161329,-0.4439845312,0.0318543362,0.3567147263,0.0016491677,0.3537152242,0.198207455,-0.2658454302,0.0862206236,-0.1918847816,0.4296937172,0.3356252014,0.0398838654,-0.2477554096,-0.341823929,-0.0335612,0.1792016807,0.0956448507,-0.2941589693,-0.0077750498,-0.0913318883,0.3004816365,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1
42,1,0.2283438941,-0.0583418515,0.0608020829,0.5150151531,-0.4002855543,0.3230252059,0.1643408334,-0.1036483643,-0.3966169212,-0.1899874705,0.3301860865,-0.1930804008,0.1760984004,-0.3839185294,-0.0209217777,-0.1356530611,-0.1597111039,-0.2989561215,0.2525993271,0.1497864182,0.3905326743,0.1247016654,0.0707826348,0.0215111578,-0.1324855398,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1
43,2,0.2283155756,-0.0991996825,-0.0507750166,0.3278469108,-0.1544231392,0.4286395687,0.2660233969,-0.3540688938,0.2037440493,-0.0775978885,-0.3752947958,-0.2506039588,-0.1179632035,0.0619951532,0.0163117907,-0.0940862549,0.006474901,-0.4983720574,-0.1550425472,0.2783947755,0.3233416821,0.1655593873,0.3065228045,-0.2229110996,0.2083879511,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1
44,0,0.2283066979,0.3052473713,0.2769601619,-0.120853806,-0.120003938,-0.0439799986,-0.1232481809,0.0700011385,-0.4305788011,0.2683602256,0.0925744071,0.1137859906,0.2487950062,0.2776677516,-0.2675645766,-0.104194111,-0.3570695026,-0.3045017264,0.1673102745,-0.1019524267,0.4820833233,-0.1455237548,-0.3375980711,0.2393418414,0.1611413665,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
45,2,0.2283022719,-0.3588536164,0.0843078013,-0.2215548821,0.0822814534,0.0910367025,0.5280158993,0.2383909682,0.2942559334,-0.2684330918,0.3702194582,-0.1780887267,0.1700240462,-0.0989710928,0.4564157756,0.1188436546,0.1695891662,-0.2225888072,-0.23771967,0.3154114761,0.2750762121,0.1812197621,-0.0422339484,0.003855155,0.0974546271,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1
46,3,0.2282886948,0.2067002751,-0.2796516079,0.1708581876,0.2621814185,0.2061665489,0.2101884762,-0.138190935,0.4195969702,0.2612996027,-0.00851229,-0.0588970423,-0.1796070656,0.022921332,0.0824882599,0.5788634094,-0.2082406304,-0.0982741709,0.2290748945,-0.0612464953,0.4038290355,-0.1884712708,-0.4174846487,0.1303538256,-0.1061997619,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1
47,2,0.2282708063,-0.3482957585,-0.4865573873,-0.0732269336,-0.0532216804,-0.2144428055,0.2884320931,-0.3044091642,0.0555892663,-0.0188439797,-0.0077783893,-0.0311233451,-0.3548817066,0.302244985,-0.202619729,0.0021910937,-0.0807839797,0.3302534375,0.2692213175,0.0217699195,0.4234798541,-0.324997349,0.285026857,0.2535711839,0.0070524595,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1
48,3,0.2282293523,0.1688312894,0.1977234712,-0.312277133,0.1688312238,-0.3022760746,-0.3122771881,-0.3311685788,-0.0522761443,-0.2287743135,0.1688313757,-0.0522764592,0.4783325472,0.3597858851,0.0727235198,0.0830276906,-0.0221232988,-0.1772763287,0.0830277358,-0.0221231309,0.3227236248,0.0830277114,0.3597858547,-0.4272762237,0.0830275559,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
49,2,0.2282024517,0.1099660256,-0.0573081348,0.2651994792,-0.1522865162,-0.3409340679,-0.0969966142,-0.344648387,-0.0858011133,0.2365756576,0.4078645267,0.2931804053,0.1780215225,0.3936579212,-0.316336373,-0.0578311062,-0.2641501803,0.0946486046,-0.1748406472,0.1918329831,0.0794170982,-0.1624796643,-0.0369699781,0.3740813789,0.2403331029,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1
50,2,0.2281940896,-0.4189510109,0.1399321011,0.1671770503,0.1610936417,0.4684049043,0.2318649777,0.2867230106,-0.0263010827,-0.2142652241,-0.4433312547,-0.3157419207,0.1596298451,0.1457840945,0.0124819295,0.218079858,-0.1979674419,-0.070378108,0.5066266769,-0.1088520929,-0.2421542578,-0.1420300917,-0.1332323365,0.3021717203,-0.1495772968,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1
51,2,0.2281937572,0.1657734714,0.1134861534,0.0141614208,-0.2656128099,0.2575966011,-0.0236224195,-0.2472331996,-0.1981981837,-0.0093792648,-0.0754854986,0.3401688547,0.3829768819,-0.1142495281,-0.1131530062,0.4188405669,0.0266263231,0.0444275686,-0.4149755857,0.4460793816,-0.010403042,0.3523472091,0.1398188519,-0.432358846,0.0510281613,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1
52,3,0.2280776787,-0.0578864497,-0.093098387,0.5288923446,-0.0190144401,0.3859978788,-0.1898374102,-0.3062390144,0.1501015981,0.1271152186,0.3887978114,-0.0180542245,-0.3352104592,0.1911755727,-0.2563328363,-0.0001783707,-0.2726955119,-0.2469796496,-0.094873579,-0.0595161014,-0.0065429153,-0.418636559,0.1474895388,0.1637864095,0.1720689286,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1
53,3,0.2280707164,0.1257684795,0.2682446578,0.2728487756,0.4310178618,0.4499546716,-0.0616024726,0.1386764597,-0.3198760842,-0.3748447032,0.2945603831,0.1063145462,-0.3287276396,-0.1554852931,0.1641613103,-0.3753929145,-0.3705469212,-0.1463078622,0.0137935078,0.0842658001,-0.1150535926,0.0290763705,-0.1140975544,0.4820561041,-0.0509010628,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1
54,3,0.2280667444,0.0765937827,-0.1974605505,0.3026148706,0.3734766134,0.0156548956,-0.1063296378,0.1096235047,0.2696592401,0.297827407,0.3411090388,-0.4813924536,-0.0790394987,-0.0680292834,0.3209830595,-0.1191415511,0.1526377851,0.1527353627,-0.4811588393,-0.0206674547,-0.2110089171,-0.1428225021,-0.3062056677,0.1065446466,0.2054288773,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1
55,2,0.2280501032,0.1035492765,-0.3048743022,0.1296873874,0.3587434735,-0.1056573073,-0.2295385063,-0.1824082979,-0.0596850756,0.4914504762,0.0763056698,0.2324549335,0.1108443428,-0.2545160221,0.4916717911,-0.0663308463,-0.2645815391,-0.0575909011,0.0231133741,0.0239466694,0.1483291132,-0.4068218851,-0.0149608201,-0.3060141059,-0.3975554033,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1
